Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total             	 heat_ion
2.021218580000000000e+12	1.121827880000000000e+18	2.125080500000000215e+00	2.870872200000000021e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.122712178888888881e+02	0.000000000000000000e+00
1.812727500000000000e+15	5.172572700000000000e+18	2.277720588888888705e+00	2.807287588888888802e+01	7.000000000000000000e+01	5.500000000000000000e+01	7.115055818888888570e+02	0.000000000000000000e+00
2.052855857777777800e+17	2.528212775000000000e+18	5.258775777777777517e+00	2.780872177777777201e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.288275105500000282e+02	2.570105000000000215e-02
1.015851700000000000e+17	2.275778777777777880e+17	8.802755888888888272e+00	5.828287122222222075e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.782820052000000185e+02	8.852518888888888557e-02
7.802717200000000000e+15	2.775182200000000000e+17	7.722257888888888858e+00	5.508572188888888815e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.272855078888888758e+02	0.000000000000000000e+00
1.882255000000000000e+15	2.122787000000000000e+18	5.255288000000000157e+00	1.227585277777777787e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.728705588888888878e+02	0.000000000000000000e+00
5.255851722222222120e+17	5.250758177777777008e+18	7.725751177777777078e+00	8.871222177777778178e+00	7.000000000000000000e+01	5.500000000000000000e+01	2.820515887777777525e+02	1.278552888888888807e+00
1.080750525000000102e+18	7.207810725888888588e+18	1.857052258888888801e+01	8.778587000000000781e+00	7.000000000000000000e+01	5.500000000000000000e+01	5.728552712500000525e+02	1.721572275000000157e+02
7.870782000000000000e+18	7.018025285715285578e+18	1.557728271528571275e+01	1.125705271528571288e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.517287285285715225e+02	7.887217228571528517e+01
7.018155777777777500e+17	8.752287222222225017e+18	7.280050888888888705e+00	1.082171777777777788e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.718708252522222070e+02	2.018777875777777587e-01
7.781228700000000000e+17	8.710822800000000000e+18	7.587100588888888772e+00	1.217028700000000055e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.778822882888700288e+02	7.828887000000000028e-05
2.272221275000000000e+15	2.088582000000000000e+18	2.755822500000000258e+00	1.772277758888888870e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.170812788888888827e+02	0.000000000000000000e+00
