Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
9.500092999352199050e+19	6.620155000000000096e+21	9.063639999999999593e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.926592256591555330e+05
2.955995605155151329e+20	6.932065000000000623e+21	9.193699999999999612e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.635991199666303599e+05
1.553036991595120610e+21	9.535699999999999669e+21	9.953563333333335531e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.666935966025152165e+05
2.695190192155965561e+22	9.336595999999999293e+22	1.220209500000000111e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.501195590162632091e+05
2.359092056530595635e+23	5.999959999999999936e+23	1.606122000000000229e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.096906265293902036e+06
1.293351992295159365e+23	2.051995999999999909e+23	2.225310000000000353e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.192695916321050293e+05
3.305529966559615061e+22	2.302699333333333529e+22	2.631196333333333039e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.335566355611000210e+05
3.052393655915099611e+21	5.966600000000000000e+20	9.996659599999996909e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.061669163621959293e+05
3.309019653996135963e+20	1.165003206363636205e+20	9.366363636363639999e+01	5.352239999999999611e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.001990699596955516e+05
