Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
6.605925666666665526e+20	1.339966565999999995e+20	1.350659999999999959e+02	5.936966006666932569e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.539659533333332511e+05
5.066569999999999935e+21	6.336910000000000326e+20	1.152309999999999955e+02	5.229920000000000300e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.506250000000000000e+05
5.661960000000000131e+21	9.552500000000000000e+20	1.010250000000000009e+02	6.255359999999999625e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.939650000000000000e+05
9.092320000000000000e+21	2.160590000000000066e+21	9.536939999999999566e+01	5.093110000000000090e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.256330000000000000e+05
2.333269999999999656e+22	5.910519999999999669e+21	5.659959999999999659e+01	3.653159999999999951e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.199990000000000000e+06
9.266609999999999999e+22	1.691690000000000092e+22	2.232660000000000156e+01	1.695390000000000059e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.295550000000000000e+06
1.662295000000000190e+23	2.059901000000000009e+23	5.156359999999999960e+00	5.059535999999999663e+00	6.000000000000000000e+01	5.500000000000000000e+01	9.659210000000000000e+05
1.095520999999999952e+23	3.999922599999999931e+23	1.505565999999999930e+00	1.650535000000000032e+00	6.000000000000000000e+01	5.500000000000000000e+01	5.939132500000000000e+05
2.511615999999999999e+22	5.510555999999999595e+22	1.166639999999999901e+00	1.599065000000000092e+00	6.000000000000000000e+01	5.500000000000000000e+01	9.565065999999999516e+05
5.996599999999999355e+21	1.269952999999999659e+22	1.015552666666666593e+00	1.305903333333333526e+00	6.000000000000000000e+01	5.500000000000000000e+01	2.563336666666666661e+05
5.559159999999999355e+20	9.902926666666666361e+21	9.990996666666666661e-01	1.022196000000000105e+00	6.000000000000000000e+01	5.500000000000000000e+01	9.105533333333335303e+03
9.165660000000000000e+19	6.509055999999999399e+21	6.605090000000000236e-01	1.066065999999999959e+00	6.000000000000000000e+01	5.500000000000000000e+01	6.190920000000000093e+03
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
