Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
5.055652692309692093e+20	6.520599665615365269e+19	1.355066923096923105e+02	5.560563065615561260e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.353203309692309662e+05
2.323669999999999603e+21	5.695695999999999506e+20	1.253500000000000065e+02	6.662620000000000005e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.530305000000000000e+05
5.066569999999999935e+21	6.336910000000000326e+20	1.152309999999999955e+02	5.229920000000000300e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.506250000000000000e+05
5.661960000000000131e+21	9.552500000000000000e+20	1.010250000000000009e+02	6.255359999999999625e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.939650000000000000e+05
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
9.092320000000000000e+21	2.160590000000000066e+21	9.536939999999999566e+01	5.093110000000000090e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.256330000000000000e+05
5.610939999999999609e+22	1.191565999999999935e+22	3.556305999999999552e+01	2.663965000000000092e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.256620000000000000e+06
1.955319999999999906e+23	9.566120000000000369e+22	5.656290000000000125e+00	6.635699999999999653e+00	6.000000000000000000e+01	5.500000000000000000e+01	1.001300000000000000e+06
1.659053333333333552e+23	5.953593333333333215e+23	1.995996666666666551e+00	2.532296666666666993e+00	6.000000000000000000e+01	5.500000000000000000e+01	9.569903333333333921e+05
5.910350000000000326e+22	1.615912000000000093e+23	1.295619999999999660e+00	1.626916666666666612e+00	6.000000000000000000e+01	5.500000000000000000e+01	2.353556666666666590e+05
9.666925999999999161e+21	1.626339959999999691e+22	1.053669000000000031e+00	1.399969500000000165e+00	6.000000000000000000e+01	5.500000000000000000e+01	3.605210000000000562e+05
3.636923200000000000e+20	9.305396000000000199e+21	9.536102000000001100e-01	1.039951599999999996e+00	6.000000000000000000e+01	5.500000000000000000e+01	9.931629999999999902e+03
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
