Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
0,8.340466666666667520e+17,4.529833333333333606e+19,2.334961141978003241e+01,5.173176508335557600e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.034762882601478486e+04,1.555276194035393633e+00
1,8.286320000000000000e+18,1.992000000000000000e+19,3.502401477796062323e+01,5.295137033556520834e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.016763807875370549e+04,1.545179274400236658e+01
2,4.074208333333333606e+19,2.796625000000000000e+19,3.502004351791627101e+01,5.332025664459289516e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.028963181824535422e+04,7.597319770725002286e+01
3,5.148083333333332787e+19,3.105500000000000000e+19,3.501463119068615981e+01,5.096366549076045516e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.033325440377005725e+04,9.599812304559746678e+01
4,4.547700000000000000e+19,2.519700000000000000e+19,3.501326964440912803e+01,4.955143568827052292e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.027730446360640053e+04,8.480256357695525082e+01
5,2.077492857142857728e+19,1.726321428571428659e+19,3.001546904303151919e+01,5.191391622080484325e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.017062851944004069e+04,3.873974098962717960e+01
6,1.661750000000000000e+19,2.030750000000000000e+19,2.918221310411788849e+01,5.225360484114932547e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.018613397461548448e+04,3.098723750995126736e+01
7,6.925000000000001638e+19,4.324000000000000000e+19,3.501416786391222757e+01,5.078896382082892558e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.045948105687467614e+04,1.291329139500000167e+02
8,4.721145454545453875e+19,3.334954545454545715e+19,3.183347126749914224e+01,5.179165727235191952e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.034282318047009176e+04,8.803686205447679924e+01
9,3.384462500000000000e+18,1.220312500000000000e+19,2.626671620017206976e+01,5.289603933893760512e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.009954146133556787e+04,6.311126422808691849e+00
10,2.415455000000000000e+19,1.449100000000000000e+19,2.801635323669552946e+01,5.371327286195999307e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.015575125126904459e+04,4.504184009604292527e+01
11,3.920624583333333504e+18,5.360875000000001024e+18,2.626849173127734005e+01,5.641288904811340643e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.004826733517731191e+04,7.310926742957948754e+00
12,4.324212500000000000e+16,1.368806250000000000e+18,2.188824402928536728e+01,5.673309286524613526e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.001053814211417921e+04,8.063511345328730484e-02
13,2.496153750000000000e+18,2.327197916666666496e+18,3.210458506644710752e+01,5.777884022777701034e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.002243416419177083e+04,4.654665810898481304e+00
14,4.016026874999999488e+18,3.471846875000000000e+18,2.626790493785475888e+01,5.688609856477067694e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.003401329871913185e+04,7.488826756249278738e+00
15,7.073767500000000000e+18,5.762062500000000000e+18,2.626744003510556169e+01,5.604619389407350383e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.005721213369452744e+04,1.319070339176616358e+01
16,1.791536875000000000e+18,5.961500000000000000e+18,2.626836807019701325e+01,5.391185859251714163e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.004888584954070393e+04,3.340741907835767854e+00
17,5.516827973684210074e+19,3.581500000000000000e+19,3.317546741592767034e+01,5.209584727960574213e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.037649631421607046e+04,1.028742342242189522e+02
18,3.351186666666666230e+20,2.078533333333333443e+20,2.801163983585938411e+01,4.904083651533125732e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.221288081511895871e+04,6.249075804433994108e+02
19,7.081249999999999672e+20,4.240000000000000000e+20,3.501261634374090193e+01,4.858585992985776869e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.455977211666778021e+04,1.320465627304603231e+03
20,9.245000000000000000e+20,5.740000000000001311e+20,3.501257436452136318e+01,4.902807491289196662e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.610923526913610112e+04,1.723947710422743967e+03
