Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
0,4.170233333333333504e+18,2.264916666666666885e+20,2.334961141978003241e+01,5.173176508335557600e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.617381441300740e+05,7.776380970176968610e+00
1,4.143160000000000000e+19,9.960000000000000000e+19,3.502401477796062323e+01,5.295137033556520834e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.608381903937685e+05,7.725896372001184886e+01
2,2.037104166666666967e+20,1.398312500000000082e+20,3.502004351791627101e+01,5.332025664459289516e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.614481590912268e+05,3.798659885362500859e+02
3,2.574041666666666394e+20,1.552750000000000000e+20,3.501463119068615981e+01,5.096366549076045516e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.616662720188503e+05,4.799906152279873481e+02
4,2.273850000000000000e+20,1.259850000000000000e+20,3.501326964440912803e+01,4.955143568827052292e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.613865223180320e+05,4.240128178847762683e+02
5,1.038746428571428782e+20,8.631607142857143091e+19,3.001546904303151919e+01,5.191391622080484325e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.608531425972002e+05,1.936987049481359122e+02
6,8.308750000000000000e+19,1.015375000000000000e+20,2.918221310411788849e+01,5.225360484114933257e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.609306698730774e+05,1.549361875497563403e+02
7,3.462500000000000655e+20,2.162000000000000000e+20,3.501416786391222757e+01,5.078896382082892558e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.622974052843734e+05,6.456645697500000551e+02
8,2.360572727272726856e+20,1.667477272727272817e+20,3.183347126749914580e+01,5.179165727235191952e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.617141159023505e+05,4.401843102723840389e+02
9,1.692231250000000000e+19,6.101562499999999590e+19,2.626671620017206976e+01,5.289603933893760512e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.604977073066778e+05,3.155563211404346191e+01
10,1.207727499999999918e+20,7.245500000000000819e+19,2.801635323669552946e+01,5.371327286195999307e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.607787562563453e+05,2.252092004802146619e+02
11,1.960312291666666701e+19,2.680437500000000410e+19,2.626849173127734005e+01,5.641288904811341354e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.602413366758865e+05,3.655463371478974466e+01
12,2.162106250000000000e+17,6.844031250000000000e+18,2.188824402928536728e+01,5.673309286524613526e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.600526907105709e+05,4.031755672664364964e-01
