Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
0,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
10,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
11,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
12,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
13,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
14,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
15,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
16,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
17,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
18,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
19,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
20,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
21,2.500000000000000000e+18,0.000000000000000000e+00,2.400000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
