Z_Coord,R_Coord
-2.512000000000000011e+00,4.099999999999999645e+00
-1.501000000000000112e+00,4.099999999999999645e+00
-4.869999999999999885e-01,4.099999999999999645e+00
5.280000000000000249e-01,4.099999999999999645e+00
1.542999999999999927e+00,4.099999999999999645e+00
2.556999999999999940e+00,4.099999999999999645e+00
3.568999999999999950e+00,4.120000000000000107e+00
4.326000000000000512e+00,4.328600000000000669e+00
4.700800000000000090e+00,4.934300000000000352e+00
4.519300000000000317e+00,5.754100000000000215e+00
3.937400000000000233e+00,6.511700000000000266e+00
3.155499999999999972e+00,7.398000000000000576e+00
2.440500000000000114e+00,7.900399999999999423e+00
1.660299999999999887e+00,8.260299999999999088e+00
6.126000000000000334e-01,8.382100000000001216e+00
-4.409000000000000141e-01,8.290600000000001302e+00
-1.355700000000000127e+00,7.894300000000000317e+00
-2.262999999999999901e+00,7.265100000000000335e+00
-3.250999999999999890e+00,6.057999999999999829e+00
-3.351999999999999869e+00,5.831999999999999851e+00
-3.539000000000000146e+00,5.655000000000000249e+00
-3.770999999999999908e+00,5.567000000000000171e+00
-3.930000000000000160e+00,5.557000000000000384e+00
-4.011000000000000121e+00,5.557000000000000384e+00
-4.081000000000000405e+00,5.557000000000000384e+00
-4.141000000000000014e+00,5.557000000000000384e+00
-4.200999999999999623e+00,5.557000000000000384e+00
-4.261000000000000121e+00,5.557000000000000384e+00
-4.320000000000000284e+00,5.557000000000000384e+00
-4.379999999999999893e+00,5.557000000000000384e+00
-4.440000000000000391e+00,5.557000000000000384e+00
-4.500000000000000000e+00,5.557000000000000384e+00
-4.580000000000000071e+00,5.557000000000000384e+00
-4.413999999999999702e+00,5.413000000000000256e+00
-4.267000000000000348e+00,5.266000000000000014e+00
-3.988999999999999879e+00,5.246000000000000441e+00
-3.857000000000000206e+00,5.158000000000000362e+00
-3.770000000000000018e+00,5.043999999999999595e+00
-3.728000000000000203e+00,4.935999999999999943e+00
-3.713000000000000078e+00,4.822000000000000064e+00
-3.721000000000000085e+00,4.735999999999999766e+00
-3.750000000000000000e+00,4.639000000000000234e+00
-3.912999999999999812e+00,4.485999999999999766e+00
-3.904999999999999805e+00,4.389000000000000234e+00
-3.898000000000000131e+00,4.291999999999999815e+00
-3.891999999999999904e+00,4.219000000000000306e+00
-3.923999999999999932e+00,4.157000000000000028e+00
-3.869000000000000217e+00,4.184000000000000163e+00
-3.814999999999999947e+00,4.209999999999999964e+00
-3.761000000000000121e+00,4.235999999999999766e+00
-3.706999999999999851e+00,4.262999999999999901e+00
-3.644000000000000128e+00,4.293000000000000149e+00
-3.589999999999999858e+00,4.320000000000000284e+00
-3.536000000000000032e+00,4.346000000000000085e+00
-3.483000000000000096e+00,4.371999999999999886e+00
-3.428999999999999826e+00,4.399000000000000021e+00
-3.375000000000000000e+00,4.424999999999999822e+00
-3.311999999999999833e+00,4.456000000000000405e+00
-3.237000000000000099e+00,4.488999999999999879e+00
-3.136000000000000121e+00,4.514999999999999680e+00
-3.041999999999999815e+00,4.520999999999999908e+00
-2.928999999999999826e+00,4.503999999999999559e+00
-2.786000000000000032e+00,4.442999999999999616e+00
-2.674999999999999822e+00,4.349000000000000199e+00
