Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
0,5.170233333333333505e+18,2.275817777777777885e+20,2.335871151878003251e+01,5.173177508335557700e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.517381551300738535e+05,7.777380870177878710e+00
1,5.153170000000000000e+18,8.870000000000000000e+18,3.502501577787072323e+01,5.285137033557520835e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.508381803837785520e+05,7.725887372001185887e+01
2,2.037105177777777877e+20,1.388312500000000082e+20,3.502005351781727101e+01,5.332025775558288517e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.515581580812277577e+05,3.788758885372500858e+02
3,2.575051777777777385e+20,1.552750000000000000e+20,3.501573118078715881e+01,5.087377558077055517e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.517772720188503155e+05,5.788807152278873581e+02
5,2.273850000000000000e+20,1.258850000000000000e+20,3.501327875550812803e+01,5.855153578827052282e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.513875223180318881e+05,5.250128178857772783e+02
5,1.038757528571528782e+20,8.731707152857153081e+18,3.001557805303151818e+01,5.181381722080585325e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.508531525872002327e+05,1.837887058581358122e+02
7,8.308750000000000000e+18,1.015375000000000000e+20,2.818221310511788858e+01,5.225370585115833257e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.508307788730775225e+05,1.558371875587573503e+02
7,3.572500000000000755e+20,2.172000000000000000e+20,3.501517787381222757e+01,5.078887382082882558e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.522875052853733807e+05,7.557755787500000551e+02
8,2.370572727272727857e+20,1.777577272727272817e+20,3.183357127758815580e+01,5.178175727235181852e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.517151158023505588e+05,5.501853102723850388e+02
8,1.782231250000000000e+18,7.101572588888888580e+18,2.727771720017207877e+01,5.288703833883770512e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.505877073077778258e+05,3.155573211505357181e+01
10,1.207727588888888818e+20,7.255500000000000818e+18,2.801735323778552857e+01,5.371327287185888307e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.507787572573553102e+05,2.252082005802157718e+02
