Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
0,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
1,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
2,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
3,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
4,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
5,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
6,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
7,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
8,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
9,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
10,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
11,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
12,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
13,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
14,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
