Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
0.000000000000000000e+00,2.021218580000000000e+13,1.121837880000000000e+18,2.125080500000000315e+00,2.870872200000000021e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.123713178888888881e+03,0.000000000000000000e+00
1.000000000000000000e+00,1.813737500000000000e+15,5.173572700000000000e+18,2.277730588888888705e+00,2.807287588888888803e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.115055818888888570e+02,0.000000000000000000e+00
2.000000000000000000e+00,2.053855857777777800e+17,2.538313775000000000e+18,5.258775777777777517e+00,2.780872177777777201e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.388375105500000383e+02,3.570105000000000215e-02
3.000000000000000000e+00,1.015851700000000000e+17,3.375778777777777880e+17,8.803755888888888372e+00,5.828287133333333075e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.782830052000000185e+02,8.852518888888888557e-02
4.000000000000000000e+00,7.802717200000000000e+15,3.775182200000000000e+17,7.732357888888888858e+00,5.508573188888888815e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.372855078888888758e+02,0.000000000000000000e+00
5.000000000000000000e+00,1.882255000000000000e+15,2.122787000000000000e+18,5.355388000000000157e+00,1.227585277777777787e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.728705588888888878e+02,0.000000000000000000e+00
6.000000000000000000e+00,5.255851733333333120e+17,5.250758177777777008e+18,7.735751177777777078e+00,8.871233177777778178e+00,7.000000000000000000e+01,5.500000000000000000e+01,2.820515887777777535e+02,1.378552888888888807e+00
7.000000000000000000e+00,1.080750525000000102e+18,7.307810725888888588e+18,1.857053258888888801e+01,8.778587000000000781e+00,7.000000000000000000e+01,5.500000000000000000e+01,5.738552712500000525e+02,1.721573375000000157e+02
8.000000000000000000e+00,7.870782000000000000e+18,7.018025285715285578e+18,1.557738271528571275e+01,1.125705371528571288e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.517387285285715225e+02,7.887217228571528517e+01
9.000000000000000000e+00,7.018155777777777500e+17,8.752287333333335017e+18,7.380050888888888705e+00,1.083171777777777788e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.718708353532333070e+02,2.018777875777777587e-01
1.000000000000000000e+01,7.781328700000000000e+17,8.710822800000000000e+18,7.587100588888888773e+00,1.217028700000000055e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.778822882888700388e+02,7.828887000000000028e-05
1.100000000000000000e+01,2.372321375000000000e+15,2.088583000000000000e+18,2.755833500000000258e+00,1.772277758888888870e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.170813788888888827e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.528235750000000000e+15,7.885507750000000000e+17,1.731778750000000130e+00,1.587578758888888832e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.387707500000000235e+02,0.000000000000000000e+00
1.300000000000000000e+01,3.721787500000000000e+15,2.573752200000000000e+17,2.231321700000000238e+00,2.538255000000000185e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.813353785538888772e+02,5.585388888888888822e-05
1.400000000000000000e+01,7.070227777777777250e+15,1.853882383333333550e+17,5.572515177777775885e+00,3.187888588888888757e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.887538015738333318e+02,1.785250588888888722e-03
1.500000000000000000e+01,2.505028000000000000e+17,5.712537200000000000e+17,5.127800888888888588e+00,3.732888750000000577e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.755735727008278871e+02,5.778800827888888777e-03
1.600000000000000000e+01,2.728078833333333200e+17,2.083372000000000000e+18,8.157880177777775255e+00,3.337517588888888752e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.353711377338583252e+02,1.370883007250000302e-01
1.700000000000000000e+01,3.837778077777777775e+18,5.378231533333332882e+18,1.358151533333333251e+01,3.837385777777778510e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.080085587777778058e+02,2.857538311111111025e+01
