Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.163036559613903665e+19	6.110259999999999935e+21	9.091139999999999999e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.252511996515066333e+05
1.215913595635999669e+20	6.956659999999999609e+21	9.109325999999999559e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.331056991955552313e+05
5.122299960533935506e+20	9.069935999999999650e+21	9.352595000000000205e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.503226319516525606e+05
1.555629099156919995e+21	1.056503999999999669e+22	1.019922500000000065e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.152965210915326669e+05
5.995996119169635913e+21	2.530609999999999692e+22	1.153950000000000055e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	5.096919566992513509e+05
6.351665365665265161e+22	2.116196666666666560e+23	1.336219999999999963e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.959095920009669969e+05
2.115069156362366256e+23	9.035963333333333291e+23	1.963509999999999929e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.699510355569256656e+05
1.519605351523365213e+23	3.229599999999999963e+23	2.216669999999999629e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.220396096932959596e+05
9.055669166511921320e+22	1.056651999999999999e+23	2.939320000000000399e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.659961651155632519e+05
1.295633599626565135e+22	5.351259999999999609e+21	5.069565999999999995e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.599993531595562919e+05
3.050699321659399903e+21	5.653950000000000326e+20	9.991609999999999263e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.930062622592390933e+05
6.369903199655350219e+20	2.036999000000000165e+20	1.055999599999999959e+02	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.125096063252562565e+05
1.611510621999960969e+20	9.626922616666665999e+19	9.512199999999999969e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.516525616503613622e+05
3.952969950519192301e+19	1.369119659999999959e+20	9.916559999999999399e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.113999910093612293e+05
