 # r1,r2 - radial coordinates of the segment    [m]        
 # z1,z2 - vertical coordinates of the segemnt  [m]        
 # rc,zc - coordinates of the segment center    [m]        
 # xc    - coordinate along the target (0 at SP)[m]        
 # ne    - electron density                     [m^-3]     
 # Te    - electron temperature                 [eV]       
 # Ti    - ion temperature                      [eV]       
 # Tn    - neurtal temperature                  [eV]       
 # flxi  - ion flux (only fuel ions)            [m^-2*s^-1]
 # flxn  - neutral flux (only fuel atoms)       [m^-2*s^-1]
 # prm   - molecule pressure (only fuel mol.)   [Pa]       
 # pwre  - electron power flux                  [W/m^2]    
 # pwri  - ion power flux (including recomb.)   [W/m^2]    
 # pwrn  - neutral power flux                   [W/m^2]    
 # pwrr  - radiation power flux                 [W/m^2]    
 #      r1            z1            r2            z2            rc            zc            xc            ne            Te            Ti            Tn           flxi          flxn          prm           pwre          pwri          pwrn          pwrr     
    4.177351E+00 -3.888477E+00  4.181785E+00 -3.879397E+00  4.179568E+00 -3.883937E+00 -9.425965E-02  7.577808E+18  6.503952E-02  1.023119E-01  7.981697E-01  1.765721E+21  3.461300E+21  6.442204E+00  5.971831E+01  4.257851E+03  1.329960E+04  0.000000E+00
    4.181785E+00 -3.879397E+00  4.186185E+00 -3.870388E+00  4.183985E+00 -3.874893E+00 -8.920750E-02  1.693121E+19  7.448879E-02  1.201080E-01  1.710295E-01  4.323008E+21  5.723612E+21  7.304987E+00  1.655919E+02  1.028715E+04  1.607062E+04  0.000000E+00
    4.186185E+00 -3.870388E+00  4.190560E+00 -3.861432E+00  4.188372E+00 -3.865910E+00 -7.914237E-02  3.335287E+19  1.014263E-01  1.719822E-01  2.329709E-01  1.024465E+22  1.275684E+22  8.282264E+00  5.278622E+02  2.418481E+04  2.015581E+04  0.000000E+00
    4.190560E+00 -3.861432E+00  4.194781E+00 -3.852789E+00  4.192670E+00 -3.857110E+00 -6.914545E-02  6.063676E+19  1.207189E-01  2.035337E-01  4.207136E-01  2.044481E+22  1.123056E+22  8.935409E+00  1.244879E+03  4.802645E+04  2.344710E+04  0.000000E+00
    4.194781E+00 -3.852789E+00  4.198859E+00 -3.844440E+00  4.196820E+00 -3.848614E+00 -5.935239E-02  9.187655E+19  1.527038E-01  2.619817E-01  3.279154E-01  3.511324E+22  1.128439E+22  1.101090E+01  2.691251E+03  8.266878E+04  3.032226E+04  0.000000E+00
    4.198859E+00 -3.844440E+00  4.202738E+00 -3.836497E+00  4.200798E+00 -3.840468E+00 -4.989713E-02  1.505333E+20  1.971788E-01  3.339431E-01  6.667160E-01  6.504096E+22  3.242946E+22  1.389786E+01  6.421964E+03  1.542575E+05  4.663008E+04  0.000000E+00
    4.202738E+00 -3.836497E+00  4.206322E+00 -3.829157E+00  4.204530E+00 -3.832827E+00 -4.083146E-02  2.414459E+20  2.315582E-01  4.071314E-01  5.442969E-01  1.140474E+23  6.298551E+22  1.618251E+01  1.321612E+04  2.722738E+05  6.173424E+04  0.000000E+00
    4.206322E+00 -3.829157E+00  4.209604E+00 -3.822439E+00  4.207963E+00 -3.825798E+00 -3.232763E-02  3.750745E+20  2.544458E-01  4.526503E-01  7.403540E-01  1.855979E+23  1.272465E+23  2.379405E+01  2.362575E+04  4.457919E+05  1.080652E+05  0.000000E+00
    4.209604E+00 -3.822439E+00  4.212574E+00 -3.816358E+00  4.211089E+00 -3.819399E+00 -2.450517E-02  5.749136E+20  2.874293E-01  5.090772E-01  6.651151E-01  3.000383E+23  1.691077E+23  4.014523E+01  4.321759E+04  7.278422E+05  1.815033E+05  0.000000E+00
    4.212574E+00 -3.816358E+00  4.215103E+00 -3.811179E+00  4.213838E+00 -3.813768E+00 -1.738304E-02  7.900515E+20  3.123341E-01  5.367918E-01  7.706607E-01  4.227358E+23  2.791370E+23  6.336184E+01  6.631812E+04  1.035478E+06  3.111162E+05  0.000000E+00
