# Target erosion - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  10:13 pshenoa RSP_D_only_nodrift_20MW_Dpuff=8.85e21_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.07114E-01   5.89092E+21   1.09486E+00   2.45445E-01   6.32326E+19   2.30239E+22   6.78219E-01  -6.03876E-01
 -2.75339E-01   6.92719E+21   1.03731E+00   3.25354E-01   1.20481E+20   2.11198E+22   7.60081E-01  -5.64922E-01
 -2.43443E-01   8.11426E+21   9.89132E-01   3.34958E-01   2.38428E+20   2.03929E+22   7.01922E-01  -5.24890E-01
 -2.11564E-01   6.93229E+21   9.73356E-01   2.84110E-01   4.61454E+20   1.94596E+22   7.05975E-01  -4.83694E-01
 -1.79903E-01   8.66223E+21   1.10410E+00   4.36927E-01   9.34866E+20   1.77566E+22   6.98667E-01  -4.40587E-01
 -1.49095E-01   9.77989E+21   1.14798E+00   5.04144E-01   1.94781E+21   1.64884E+22   6.69031E-01  -3.96024E-01
 -1.19421E-01   1.23193E+22   1.39457E+00   8.29183E-01   3.96773E+21   1.55705E+22   7.21408E-01  -3.50182E-01
 -9.12713E-02   1.65991E+22   1.37216E+00   1.20695E+00   8.41996E+21   1.54284E+22   7.54853E-01  -3.02220E-01
 -6.53910E-02   3.43553E+22   1.59644E+00   2.71587E+00   1.63402E+22   1.56317E+22   8.38100E-01  -2.52625E-01
 -4.22125E-02   7.38536E+22   1.56173E+00   5.82458E+00   3.18921E+22   1.81825E+22   1.16816E+00  -2.00743E-01
 -2.23437E-02   1.41356E+23   1.60580E+00   1.15721E+01   5.61476E+22   2.25890E+22   1.88679E+00  -1.43444E-01
 -6.67591E-03   2.69564E+23   1.71862E+00   2.17642E+01   8.92708E+22   3.08709E+22   2.54743E+00  -5.65283E-02
  8.15737E-03   4.92011E+23   1.84956E+00   4.15169E+01   1.20884E+23   3.97497E+22   3.47806E+00   7.04409E-04
  2.84488E-02   6.16958E+23   2.18816E+00   5.75084E+01   1.71906E+23   2.94240E+22   2.88567E+00   2.45388E-03
  5.70948E-02   3.14079E+23   3.25917E+00   4.09158E+01   2.01923E+23   6.54819E+21   9.18321E-01   4.85436E-03
  9.18439E-02   9.58612E+22   6.83590E+00   2.49550E+01   1.74532E+23   1.29431E+21   3.14337E-01   7.84668E-03
  1.29296E-01   1.87189E+22   1.87437E+01   1.20306E+01   7.28861E+22   1.29025E+20   1.17888E-01   1.13729E-02
  1.73841E-01   4.71042E+21   3.85316E+01   5.17947E+00   2.33327E+22   5.78990E+18   4.50734E-02   1.53775E-02
  2.33655E-01   2.16059E+21   4.09311E+01   2.02946E+00   9.09232E+21   8.43844E+18   2.16406E-02   1.98112E-02
  3.11418E-01   9.55240E+20   6.24535E+01   1.33317E+00   4.68198E+21   0.00000E+00   9.22707E-03   2.46417E-02
  3.89613E-01   8.33891E+20   5.22792E+01   1.24589E+00   4.08857E+21   1.65862E+19   1.00495E-02   2.98075E-02
  4.61617E-01   7.08345E+20   7.58547E+01   9.51355E-01   2.64906E+21   7.86015E+18   8.86270E-03   3.52339E-02
  5.31891E-01   4.66630E+20   6.17977E+01   6.54859E-01   1.99868E+21   0.00000E+00   3.14303E-03   4.08650E-02
  5.98708E-01   1.57475E+20   6.93995E+01   4.18806E-01   1.33230E+21   0.00000E+00   3.61942E-03   4.66425E-02
  6.64397E-01   1.42558E+20   7.40604E+01   4.00115E-01   9.49444E+20   0.00000E+00   2.37657E-03   5.25122E-02
  7.26726E-01   1.25233E+20   2.50234E+01   2.58981E-01   6.90542E+20   0.00000E+00   2.13213E-03   5.84156E-02
  7.85306E-01   1.05845E+20   5.17194E+01   1.24264E-01   5.06006E+20   0.00000E+00   4.29291E-04   6.42960E-02
  8.39878E-01   9.08699E+19   4.88376E+01   8.52483E-02   3.85293E+20   0.00000E+00   7.50283E-04   7.01086E-02
  8.88700E-01   3.75846E+19   6.58763E+01   1.12762E-01   3.23695E+20   0.00000E+00   1.65580E-03   7.58011E-02
  9.32781E-01   3.91338E+19   9.27944E+01   6.24884E-02   2.40747E+20   0.00000E+00   1.68729E-04   8.13096E-02
  9.71895E-01   1.60630E+19   9.79861E+01   3.76733E-02   2.21424E+20   0.00000E+00   6.39526E-04   8.65736E-02
  1.00470E+00   7.31371E+19   1.10888E+01   2.19546E-02   1.83887E+20   0.00000E+00   4.08852E-04   9.15400E-02
  1.03325E+00   0.00000E+00   1.00001E-06   0.00000E+00   1.55122E+20   0.00000E+00   0.00000E+00   9.61687E-02
  1.05805E+00   4.65707E+19   8.23937E+01   5.44434E-02   1.23356E+20   0.00000E+00   0.00000E+00   1.00423E-01
  1.07861E+00   2.07599E+17   8.92440E+01   2.62060E-02   9.13902E+19   0.00000E+00   0.00000E+00   1.04275E-01
  1.09376E+00   0.00000E+00   9.03627E+01   1.84494E-02   5.61423E+19   0.00000E+00   0.00000E+00   1.07707E-01
