# Target erosion - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:27 pshenoa RSP_D_only_nodrift_20MW_Dpuff=3.31e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.09594E-01   1.23496E+22   8.02362E-01   4.30118E-01   1.93959E+18   2.91234E+22   1.12648E+00  -6.03876E-01
 -2.79167E-01   1.41690E+22   7.01615E-01   5.14965E-01   3.90232E+18   2.59976E+22   1.04224E+00  -5.64922E-01
 -2.48074E-01   1.43460E+22   8.67025E-01   6.09760E-01   8.05097E+18   2.42844E+22   1.07867E+00  -5.24890E-01
 -2.16306E-01   1.64991E+22   8.26300E-01   6.75269E-01   1.99894E+19   2.22291E+22   9.65590E-01  -4.83694E-01
 -1.84364E-01   1.43774E+22   9.24661E-01   5.84199E-01   4.72317E+19   2.30036E+22   1.02590E+00  -4.40587E-01
 -1.52700E-01   1.71523E+22   9.70122E-01   7.94828E-01   1.27214E+20   2.01400E+22   9.16884E-01  -3.96024E-01
 -1.21990E-01   1.61931E+22   9.78830E-01   7.22138E-01   3.64099E+20   1.97195E+22   8.83287E-01  -3.50182E-01
 -9.25201E-02   1.91506E+22   1.12968E+00   9.34542E-01   1.12982E+21   1.84707E+22   9.83477E-01  -3.02220E-01
 -6.49742E-02   2.51409E+22   1.43533E+00   1.78691E+00   3.66677E+21   1.82176E+22   1.15496E+00  -2.52625E-01
 -4.08761E-02   4.99900E+22   1.30758E+00   3.24491E+00   1.22957E+22   2.38610E+22   1.40687E+00  -2.00743E-01
