# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:27 pshenoa RSP_D_only_nodrift_20MW_Dpuff=3.31e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.09594E-01   6.39540E+15   7.66615E-01   7.86249E-01   3.33294E+04   5.59359E+03   2.77358E+04   9.79340E+00   5.58380E+03   3.72702E+03   1.86657E+03   5.56722E+00   4.22618E+00  -6.03876E-01   4.37836E+00  -3.46867E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.64235E+01   1.72549E+01
 -2.79167E-01   1.42473E+16   8.36719E-01   8.00928E-01   3.56174E+04   5.97119E+03   2.96462E+04   1.76077E+01   5.95358E+03   3.97700E+03   1.99418E+03   9.10496E+00   8.50279E+00  -5.64922E-01   4.38895E+00  -3.44014E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.82348E+01   1.80250E+01
 -2.48074E-01   3.22486E+16   7.24352E-01   8.41686E-01   3.56007E+04   5.49274E+03   3.01080E+04   4.03115E+00   5.48871E+03   3.64457E+03   1.84817E+03  -1.35111E+01   1.75423E+01  -5.24890E-01   4.40024E+00  -3.41117E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.98512E+01   1.88147E+01
 -2.16306E-01   8.32212E+16   6.69839E-01   8.86012E-01   3.61859E+04   6.12700E+03   3.00589E+04   1.67859E+01   6.11022E+03   4.04553E+03   2.08148E+03  -2.67690E+01   4.35549E+01  -4.83694E-01   4.41289E+00  -3.38205E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.27366E+01   2.00215E+01
 -1.84364E-01   2.10393E+17   6.38276E-01   8.87191E-01   3.80978E+04   6.05083E+03   3.20470E+04   1.29871E+02   5.92096E+03   3.97312E+03   2.07771E+03   2.69577E+01   1.02913E+02  -4.40587E-01   4.42627E+00  -3.35304E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.51470E+01   2.10368E+01
 -1.52700E-01   5.88326E+17   6.30510E-01   9.02293E-01   4.06935E+04   7.11576E+03   3.35777E+04   3.76861E+02   6.73890E+03   4.59097E+03   2.52479E+03   9.96731E+01   2.77188E+02  -3.96024E-01   4.43954E+00  -3.32429E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.82497E+01   2.25487E+01
 -1.21990E-01   1.76195E+18   6.43091E-01   8.96964E-01   4.27870E+04   7.77351E+03   3.50135E+04   8.75289E+02   6.89822E+03   4.67943E+03   3.09408E+03   8.19529E+01   7.93336E+02  -3.50182E-01   4.45241E+00  -3.29641E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.28527E+01   2.45722E+01
 -9.25201E-02   5.60279E+18   6.96464E-01   9.31935E-01   4.69056E+04   1.01917E+04   3.67138E+04   2.74990E+03   7.44181E+03   5.24790E+03   4.94381E+03   2.88132E+02   2.46177E+03  -3.02220E-01   4.46476E+00  -3.26965E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.66325E+01   2.62683E+01
 -6.49742E-02   1.85517E+19   7.89493E-01   9.81432E-01   5.77003E+04   1.87071E+04   3.89932E+04   9.73715E+03   8.96997E+03   7.72586E+03   1.09813E+04   1.74762E+03   7.98953E+03  -2.52625E-01   4.47630E+00  -3.24464E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.43767E+01   2.98961E+01
 -4.08761E-02   5.71614E+19   9.06677E-01   1.04614E+00   1.01408E+05   4.93136E+04   5.20941E+04   3.26994E+04   1.66141E+04   1.69811E+04   3.23324E+04   5.90825E+03   2.67912E+04  -2.00743E-01   4.48519E+00  -3.22228E+00   0.00000E+00   0.00000E+00   0.00000E+00   8.10400E+01   3.29063E+01
 -2.13763E-02   1.51120E+20   1.01609E+00   1.11709E+00   2.01821E+05   1.29205E+05   7.26157E+04   9.22631E+04   3.69421E+04   4.10891E+04   8.81161E+04   1.64683E+04   7.57949E+04  -1.43444E-01   4.49048E+00  -3.20354E+00   0.00000E+00   0.00000E+00   0.00000E+00   9.54081E+01   3.97340E+01
 -6.44538E-03   2.94288E+20   1.10086E+00   1.18125E+00   3.44164E+05   2.55158E+05   8.90064E+04   1.81789E+05   7.33687E+04   8.26933E+04   1.72464E+05   3.37950E+04   1.47994E+05  -5.65283E-02   4.49378E+00  -3.18897E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.27822E+02   5.56738E+01
  7.73269E-03   4.78817E+20   1.15540E+00   1.22341E+00   5.43986E+05   4.26360E+05   1.17625E+05   2.92524E+05   1.33836E+05   1.47149E+05   2.79211E+05   5.79510E+04   2.34573E+05   7.04409E-04   4.49691E+00  -3.17515E+00   7.31532E+07   8.09309E+07   1.78108E+06   1.45316E+02   5.78867E+01
  2.69840E-02   6.92044E+20   1.21379E+00   1.27927E+00   8.25681E+05   6.52609E+05   1.73072E+05   4.24850E+05   2.27759E+05   2.31036E+05   4.21574E+05   7.92403E+04   3.45610E+05   2.45388E-03   4.50117E+00  -3.15637E+00   7.01966E+07   7.67659E+07   1.68003E+06   1.04981E+02   4.15163E+01
  5.39491E-02   6.68810E+20   1.27399E+00   1.35444E+00   8.50328E+05   6.41062E+05   2.09266E+05   4.09379E+05   2.31683E+05   2.34158E+05   4.06905E+05   7.97469E+04   3.29632E+05   4.85436E-03   4.50650E+00  -3.12995E+00   4.29503E+07   4.64964E+07   9.81570E+05   9.05378E+01   3.40313E+01
  8.69687E-02   6.59120E+20   1.35316E+00   1.44837E+00   8.74093E+05   6.49875E+05   2.24218E+05   4.53007E+05   1.96868E+05   2.28125E+05   4.21751E+05   9.69172E+04   3.56090E+05   7.84668E-03   4.50960E+00  -3.09718E+00   4.06132E+07   4.35454E+07   9.74101E+05   7.99464E+01   2.90336E+01
  1.25659E-01   5.40730E+20   1.42831E+00   1.55111E+00   7.08761E+05   5.15422E+05   1.93339E+05   3.72050E+05   1.43371E+05   1.78321E+05   3.37101E+05   8.27675E+04   2.89283E+05   1.13729E-02   4.51029E+00  -3.05850E+00   3.27618E+07   3.48133E+07   7.46746E+05   7.19680E+01   2.53103E+01
  1.69906E-01   4.20368E+20   1.50789E+00   1.67017E+00   5.74563E+05   4.11592E+05   1.62971E+05   3.08790E+05   1.02802E+05   1.39981E+05   2.71611E+05   7.14665E+04   2.37324E+05   1.53775E-02   4.50855E+00  -3.01435E+00   2.64843E+07   2.79114E+07   6.10858E+05   6.52893E+01   2.22950E+01
  2.17588E-01   2.72348E+20   1.57588E+00   1.81431E+00   4.13940E+05   2.78533E+05   1.35407E+05   2.11856E+05   6.66770E+04   9.30079E+04   1.85525E+05   4.85695E+04   1.63287E+05   1.98112E-02   4.50187E+00  -2.96719E+00   1.57596E+07   1.64940E+07   3.70969E+05   5.98335E+01   1.97986E+01
  2.67844E-01   1.74041E+20   1.71916E+00   2.09693E+00   3.05400E+05   1.87661E+05   1.17739E+05   1.48005E+05   3.96563E+04   6.15555E+04   1.26105E+05   3.51256E+04   1.12879E+05   2.46417E-02   4.49052E+00  -2.91828E+00   7.57770E+06   7.88645E+06   1.80569E+05   5.54306E+01   1.77753E+01
  3.18916E-01   9.51021E+19   2.26525E+00   3.21057E+00   2.38706E+05   1.34537E+05   1.04169E+05   1.14338E+05   2.01992E+04   4.81307E+04   8.64063E+04   3.46684E+04   7.96693E+04   2.98075E-02   4.47404E+00  -2.87004E+00   3.84132E+06   3.98128E+06   9.72450E+04   5.16986E+01   1.61851E+01
  3.68977E-01   2.19209E+19   7.18811E+00   1.12233E+01   1.87697E+05   9.90361E+04   8.86607E+04   8.76769E+04   1.13592E+04   5.83632E+04   4.06729E+04   5.07926E+04   3.68843E+04   3.52339E-02   4.45351E+00  -2.82441E+00   4.73230E+06   4.89032E+06   1.27489E+05   4.87729E+01   1.48987E+01
  4.16918E-01   6.06149E+18   1.83653E+01   2.83757E+01   1.77498E+05   9.61106E+04   8.13877E+04   8.49683E+04   1.11422E+04   7.46784E+04   2.14321E+04   6.72524E+04   1.77159E+04   4.08650E-02   4.42960E+00  -2.78300E+00   5.89786E+06   6.08362E+06   1.72686E+05   4.63732E+01   1.39499E+01
  4.62965E-01   2.73383E+18   2.42637E+01   4.10928E+01   1.62359E+05   8.29369E+04   7.94221E+04   7.69587E+04   5.97824E+03   7.11689E+04   1.17681E+04   6.71845E+04   9.77419E+03   4.66425E-02   4.40357E+00  -2.74503E+00   4.78566E+06   4.93163E+06   1.44881E+05   4.43968E+01   1.31460E+01
  5.06401E-01   1.57398E+18   2.54409E+01   4.81783E+01   1.56579E+05   7.77483E+04   7.88303E+04   6.71658E+04   1.05825E+04   6.76060E+04   1.01423E+04   6.05530E+04   6.61276E+03   5.25122E-02   4.37577E+00  -2.71193E+00   3.31433E+06   3.41480E+06   1.11026E+05   4.27825E+01   1.25762E+01
  5.46523E-01   1.00253E+18   2.45324E+01   5.09359E+01   1.18906E+05   4.00254E+04   7.88805E+04   3.70536E+04   2.97174E+03   3.45446E+04   5.48075E+03   3.25640E+04   4.48959E+03   5.84156E-02   4.34689E+00  -2.68407E+00   2.18508E+06   2.25232E+06   7.70896E+04   4.15530E+01   1.21626E+01
  5.84501E-01   6.86273E+17   2.27842E+01   5.01458E+01   1.06177E+05   2.74535E+04   7.87237E+04   2.31839E+04   4.26959E+03   2.28967E+04   4.55679E+03   2.00512E+04   3.13277E+03   6.42960E-02   4.31866E+00  -2.65871E+00   1.43401E+06   1.47917E+06   5.24804E+04   4.03856E+01   1.17672E+01
  6.19861E-01   4.74095E+17   2.10827E+01   5.00243E+01   9.52563E+04   1.77492E+04   7.75071E+04   1.61705E+04   1.57876E+03   1.49527E+04   2.79656E+03   1.39005E+04   2.27000E+03   7.01086E-02   4.29018E+00  -2.63788E+00   9.46671E+05   9.77620E+05   3.68489E+04   3.95707E+01   1.15306E+01
  6.52622E-01   3.47548E+17   1.91904E+01   4.77752E+01   9.93048E+04   2.17621E+04   7.75427E+04   1.50654E+04   6.69667E+03   1.78897E+04   3.87243E+03   1.34265E+04   1.63891E+03   7.58011E-02   4.26246E+00  -2.62042E+00   6.39057E+05   6.60866E+05   2.52806E+04   3.89455E+01   1.13551E+01
  6.82978E-01   2.54499E+17   1.76686E+01   4.70965E+01   9.79423E+04   2.06285E+04   7.73138E+04   1.50061E+04   5.62234E+03   1.75265E+04   3.10191E+03   1.37794E+04   1.22671E+03   8.13096E-02   4.23666E+00  -2.60442E+00   4.43763E+05   4.59534E+05   1.82715E+04   3.84166E+01   1.11992E+01
  7.10965E-01   1.93078E+17   1.62808E+01   4.59798E+01   8.52929E+04   1.22792E+04   7.30137E+04   1.15911E+04   6.88098E+02   1.11428E+04   1.13640E+03   1.06842E+04   9.06898E+02   8.65736E-02   4.21164E+00  -2.59217E+00   3.17133E+05   3.28934E+05   1.29963E+04   3.78959E+01   1.10528E+01
  7.36429E-01   1.46542E+17   1.51022E+01   4.53482E+01   8.03662E+04   7.46454E+03   7.29017E+04   7.44124E+03   2.33021E+01   6.75702E+03   7.07519E+02   6.74149E+03   6.99747E+02   9.15400E-02   4.18778E+00  -2.58328E+00   2.31575E+05   2.40619E+05   9.80957E+03   3.75902E+01   1.09897E+01
  7.58995E-01   1.13768E+17   1.39415E+01   4.40423E+01   7.94978E+04   6.69236E+03   7.28055E+04   4.21339E+03   2.47897E+03   5.33417E+03   1.35819E+03   3.68200E+03   5.31391E+02   9.61687E-02   4.16664E+00  -2.57539E+00   1.71293E+05   1.78272E+05   7.25698E+03   3.72283E+01   1.09019E+01
  7.78734E-01   8.63408E+16   1.29084E+01   4.21490E+01   7.43043E+04   1.58147E+03   7.27228E+04   1.58124E+03   2.31153E-01   1.18758E+03   3.93893E+02   1.18743E+03   3.93816E+02   1.00423E-01   4.14814E+00  -2.56850E+00   1.25309E+05   1.30607E+05   5.32822E+03   3.69526E+01   1.08411E+01
  7.95096E-01   6.20040E+16   1.18619E+01   3.94919E+01   7.55233E+04   3.57518E+03   7.19481E+04   3.25493E+03   3.20257E+02   3.18994E+03   3.85245E+02   2.97650E+03   2.78430E+02   1.04275E-01   4.13276E+00  -2.56293E+00   8.10770E+04   8.46100E+04   3.51794E+03   3.66923E+01   1.07835E+01
  8.08420E-01   3.53438E+16   1.06977E+01   3.48964E+01   6.60919E+04   1.40670E+03   6.46852E+04   1.40692E+03  -2.25238E-01   1.27452E+03   1.32177E+02   1.27467E+03   1.32252E+02   1.07707E-01   4.11991E+00  -2.55963E+00   3.85847E+04   4.03139E+04   1.49541E+03   3.64986E+01   1.07444E+01
