# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:27 pshenoa RSP_D_only_nodrift_20MW_Dpuff=2.00e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.07114E-01   8.30906E+17   1.55453E-01   2.19023E-01   6.38024E+03   1.85033E+03   4.52991E+03   2.39049E+02   1.61128E+03   1.17001E+03   6.80320E+02   9.29384E+00   2.29755E+02  -6.03876E-01   5.55431E+00  -4.48065E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.64235E+01   2.91687E+01
 -2.75339E-01   1.50299E+18   1.85526E-01   2.50539E-01   7.58157E+03   2.71659E+03   4.86498E+03   4.44936E+02   2.27165E+03   1.64876E+03   1.06782E+03   1.23376E+01   4.32598E+02  -5.64922E-01   5.55430E+00  -4.44888E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.82348E+01   3.02098E+01
 -2.43443E-01   2.54841E+18   2.24506E-01   2.94695E-01   9.10249E+03   3.67075E+03   5.43174E+03   8.48336E+02   2.82241E+03   2.08728E+03   1.58347E+03   5.41012E+01   7.94234E+02  -5.24890E-01   5.55429E+00  -4.41698E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.98512E+01   3.10365E+01
 -2.11564E-01   4.57404E+18   2.72394E-01   3.45617E-01   1.12766E+04   4.98649E+03   6.29008E+03   1.61235E+03   3.37415E+03   2.58156E+03   2.40494E+03   1.50928E+02   1.46142E+03  -4.83694E-01   5.55429E+00  -4.38510E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.27366E+01   3.27151E+01
 -1.79903E-01   8.02753E+18   3.45194E-01   4.28101E-01   1.48646E+04   7.49677E+03   7.36779E+03   3.03059E+03   4.46618E+03   3.47163E+03   4.02514E+03   2.54330E+02   2.77626E+03  -4.40587E-01   5.55428E+00  -4.35344E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.51470E+01   3.41102E+01
 -1.49095E-01   1.43763E+19   4.53085E-01   5.54485E-01   2.00455E+04   1.12352E+04   8.81030E+03   6.30808E+03   4.92709E+03   4.30533E+03   6.92984E+03   7.56008E+02   5.55207E+03  -3.96024E-01   5.55427E+00  -4.32263E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.82497E+01   3.57010E+01
 -1.19421E-01   2.61089E+19   5.65577E-01   6.75637E-01   2.89543E+04   1.83454E+04   1.06089E+04   1.24539E+04   5.89153E+03   6.11786E+03   1.22275E+04   1.87378E+03   1.05801E+04  -3.50182E-01   5.55427E+00  -4.29296E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.28527E+01   3.82804E+01
 -9.12713E-02   4.69387E+19   6.84517E-01   8.02332E-01   4.47903E+04   3.27709E+04   1.20194E+04   2.39862E+04   8.78477E+03   9.74549E+03   2.30254E+04   3.41722E+03   2.05689E+04  -3.02220E-01   5.55426E+00  -4.26481E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.66325E+01   4.03642E+01
 -6.53910E-02   8.33007E+19   7.75851E-01   8.79754E-01   6.87423E+04   5.51319E+04   1.36104E+04   4.24383E+04   1.26936E+04   1.55855E+04   3.95464E+04   6.44141E+03   3.59969E+04  -2.52625E-01   5.55426E+00  -4.23893E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.43767E+01   4.44807E+01
 -4.22125E-02   1.38831E+20   8.65829E-01   9.63102E-01   1.13205E+05   9.71856E+04   1.60197E+04   7.59736E+04   2.12120E+04   2.86762E+04   6.85094E+04   1.33957E+04   6.25779E+04  -2.00743E-01   5.55426E+00  -4.21575E+00   0.00000E+00   0.00000E+00   0.00000E+00   8.10400E+01   4.81336E+01
 -2.23437E-02   2.18911E+20   9.35480E-01   1.02061E+00   1.75704E+05   1.55999E+05   1.97045E+04   1.17080E+05   3.89191E+04   4.78255E+04   1.08174E+05   1.97894E+04   9.72907E+04  -1.43444E-01   5.55425E+00  -4.19588E+00   0.00000E+00   0.00000E+00   0.00000E+00   9.54081E+01   5.56741E+01
